Pos,ID,Name,BV,SV,Team,8_xMins,8_Pts,9_xMins,9_Pts,10_xMins,10_Pts,Elite%
M,199,Enzo,4.9,4.9,Chelsea,86,3.72,85,2.86,83,3.42,0.01
F,200,D.D.Fofana,5.0,5.0,Chelsea,0,0.00,0,0.00,0,0.00,0.00
D,201,W.Fofana,4.4,4.4,Chelsea,0,0.00,0,0.00,0,0.00,0.00
M,202,Gallagher,5.4,5.4,Chelsea,58,2.60,56,2.07,54,2.39,0.00
D,203,Gusto,4.2,4.2,Chelsea,0,0.00,31,1.15,29,1.44,0.09
D,204,Hall,4.4,4.4,Newcastle,20,0.83,14,0.72,12,0.58,0.00
M,205,Hudson-Odoi,4.9,4.9,Nott'm Forest,46,2.00,41,2.17,37,1.53,0.00
D,206,James,5.3,5.3,Chelsea,7,0.41,63,2.34,67,3.85,0.00
F,207,Lukaku,6.8,6.8,Chelsea,0,0.00,0,0.00,0,0.00,0.00
M,208,Madueke,5.3,5.3,Chelsea,28,1.72,24,1.25,25,1.57,0.00
M,209,Mount,6.8,6.8,Man Utd,71,3.83,67,3.79,65,2.74,0.00
M,210,Mudryk,6.3,6.3,Chelsea,38,2.18,51,2.33,52,2.90,0.00
F,211,N.Jackson,6.9,6.9,Chelsea,77,4.33,74,3.33,73,4.11,0.01
F,212,Nkunku,7.3,7.3,Chelsea,0,0.00,0,0.00,0,0.00,0.00
M,213,Pulisic,5.5,5.5,Chelsea,0,0.00,0,0.00,0,0.00,0.00
D,214,M.Sarr,4.4,4.4,Chelsea,22,0.87,4,0.09,4,0.14,0.00
G,215,Slonina,4.0,4.0,Chelsea,0,0.00,0,0.00,0,0.00,0.00
M,216,Sterling,7.1,7.1,Chelsea,79,4.68,80,3.58,77,4.40,0.36
D,217,T.Silva,5.0,5.0,Chelsea,89,3.77,82,2.30,78,3.40,0.01
M,218,Ziyech,5.4,5.4,Chelsea,0,0.00,0,0.00,0,0.00,0.00
M,219,Ahamada,4.4,4.4,Crystal Palace,0,0.00,0,0.00,0,0.00,0.00
D,220,Andersen,4.8,4.8,Crystal Palace,86,3.53,84,1.87,81,2.35,0.01
M,221,J.Ayew,5.5,5.5,Crystal Palace,84,4.31,78,2.81,76,3.36,0.00
D,222,Clyne,4.4,4.4,Crystal Palace,17,0.72,16,0.45,19,0.64,0.00
M,223,C.Doucouré,5.0,5.0,Crystal Palace,91,2.61,87,2.08,85,2.24,0.00
M,224,Ebiowei,4.5,4.5,Crystal Palace,33,1.72,17,0.78,17,0.87,0.00
F,225,Edouard,5.5,5.5,Crystal Palace,14,0.76,65,2.42,71,3.19,0.00
M,226,Eze,6.2,6.2,Crystal Palace,46,2.72,84,3.38,81,4.19,0.08
G,227,Guaita,4.4,4.4,Crystal Palace,0,0.00,0,0.00,0,0.00,0.00
D,228,Guéhi,4.5,4.5,Crystal Palace,89,3.50,86,1.89,85,2.40,0.00
M,229,Hughes,4.9,4.9,Crystal Palace,73,2.58,64,1.85,60,1.94,0.00
G,230,Johnstone,4.5,4.5,Crystal Palace,94,3.86,93,3.17,92,3.33,0.08
M,231,Lerma,4.8,4.8,Crystal Palace,0,0.00,0,0.00,0,0.00,0.00
F,232,Mateta,4.9,4.9,Crystal Palace,64,3.32,30,1.38,27,1.48,0.00
G,233,Matthews,4.0,4.0,Crystal Palace,1,0.06,2,0.06,3,0.10,0.00
D,234,Mitchell,4.5,4.5,Crystal Palace,85,3.33,82,1.81,81,2.28,0.00
D,235,O'Brien,4.0,4.0,Crystal Palace,0,0.00,0,0.00,0,0.00,0.00
M,236,Olise,5.8,5.8,Crystal Palace,0,0.00,0,0.00,4,0.18,0.00
F,237,Plange,4.5,4.5,Crystal Palace,0,0.00,0,0.00,0,0.00,0.00
D,238,C.Richards,3.9,3.9,Crystal Palace,15,0.60,19,0.48,21,0.67,0.00
M,239,Riedewald,4.4,4.4,Crystal Palace,31,1.05,18,0.60,20,0.69,0.00
M,240,Schlupp,4.9,4.9,Crystal Palace,68,2.91,63,2.15,60,2.37,0.00
D,241,Tomkins,4.0,4.0,Crystal Palace,0,0.00,0,0.00,0,0.00,0.00
D,242,Ward,4.5,4.5,Crystal Palace,82,3.36,81,1.82,76,2.21,0.00
G,243,Whitworth,4.0,4.0,Crystal Palace,0,0.00,0,0.00,0,0.00,0.00
M,244,André Gomes,4.4,4.4,Everton,0,0.00,0,0.00,0,0.00,0.00
D,245,Branthwaite,4.0,4.0,Everton,82,3.13,80,1.27,77,1.99,0.00
F,246,Calvert-Lewin,5.8,5.8,Everton,59,3.68,57,2.62,55,2.75,0.00
D,247,Coleman,4.4,4.4,Everton,0,0.00,2,0.05,8,0.29,0.00
M,248,Dele,4.8,4.8,Everton,0,0.00,6,0.30,17,0.81,0.00
M,249,A.Doucoure,5.5,5.5,Everton,90,3.40,86,2.50,80,2.60,0.00
M,250,Garner,4.9,4.9,Everton,54,1.97,57,1.63,55,1.72,0.00
M,251,Gbamin,4.4,4.4,Everton,0,0.00,0,0.00,0,0.00,0.00
D,252,Godfrey,4.4,4.4,Everton,19,0.80,23,0.54,25,0.79,0.00
M,253,Gray,5.3,5.3,Everton,0,0.00,0,0.00,0,0.00,0.00
M,254,Gana,4.9,4.9,Everton,85,2.49,81,1.99,78,2.08,0.00
D,255,Holgate,4.0,4.0,Everton,0,0.00,0,0.00,0,0.00,0.00
M,256,Iwobi,5.4,5.4,Fulham,49,2.35,41,1.54,43,1.58,0.00
D,257,Keane,4.4,4.4,Everton,11,0.44,14,0.26,16,0.46,0.00
F,258,Maupay,4.9,4.9,Brentford,40,1.94,42,2.54,44,2.00,0.00
M,259,McNeil,5.4,5.4,Everton,77,3.75,75,2.67,75,2.92,0.00
D,260,Mykolenko,4.3,4.3,Everton,65,2.68,64,1.17,63,1.79,0.00
M,261,Onana,4.9,4.9,Everton,74,2.46,73,1.95,70,2.02,0.00
D,262,Patterson,4.5,4.5,Everton,40,1.65,42,0.85,40,1.19,0.00
G,263,Pickford,4.4,4.4,Everton,94,3.79,92,3.00,92,3.28,0.52
F,264,Simms,4.5,4.5,Everton,0,0.00,0,0.00,0,0.00,0.02
D,265,Tarkowski,4.4,4.4,Everton,92,3.72,89,1.48,88,2.35,0.01
G,266,J.Virginia,3.9,3.9,Everton,1,0.05,3,0.09,3,0.10,0.00
M,267,Andreas,5.5,5.5,Fulham,73,4.47,73,3.07,72,3.04,0.00
M,268,Cairney,4.9,4.9,Fulham,13,0.67,15,0.69,17,0.76,0.00
M,269,I.Cavaleiro,5.0,5.0,Fulham,0,0.00,0,0.00,0,0.00,0.00
M,270,De Cordova-Reid,5.5,5.5,Fulham,40,2.21,41,1.75,44,1.83,0.00
D,271,Diop,4.5,4.5,Fulham,91,3.92,85,1.65,85,1.58,0.00
M,272,Francois,4.4,4.4,Fulham,0,0.00,0,0.00,0,0.00,0.00
M,273,Knockaert,4.4,4.4,Fulham,0,0.00,0,0.00,0,0.00,0.00
D,274,Kongolo,4.0,4.0,Fulham,0,0.00,0,0.00,0,0.00,0.00
G,275,Leno,4.7,4.7,Fulham,93,4.11,92,3.15,92,3.13,0.02
M,276,Lukić,4.4,4.4,Fulham,49,2.11,50,1.66,51,1.67,0.00
D,277,Mbabu,4.0,4.0,Fulham,0,0.00,0,0.00,0,0.00,0.00
F,278,Mitrović,7.4,7.4,Fulham,0,0.00,0,0.00,0,0.00,0.00
F,279,Muniz,4.4,4.4,Fulham,0,0.00,2,0.17,3,0.23,0.00
M,280,J.Palhinha,5.0,5.0,Fulham,89,2.82,86,2.16,85,2.11,0.00
D,281,Ream,4.5,4.5,Fulham,84,3.73,80,1.63,81,1.59,0.00
M,282,Reed,4.8,4.8,Fulham,43,1.78,44,1.50,44,1.49,0.00
D,283,Robinson,4.5,4.5,Fulham,66,2.98,58,1.21,59,1.18,0.00
G,284,Rodák,4.0,4.0,Fulham,2,0.07,2,0.09,3,0.11,0.00
D,285,Tete,4.5,4.5,Fulham,55,2.65,69,1.54,65,1.41,0.00
D,286,Tosin,4.3,4.3,Fulham,0,0.00,0,0.00,2,0.04,0.00
F,287,Vinícius,4.8,4.8,Fulham,15,1.07,17,0.90,19,1.01,0.00
M,288,Wilson,5.4,5.4,Fulham,51,3.10,53,2.32,49,2.17,0.00
G,289,Adrián,4.0,4.0,Liverpool,0,0.00,0,0.00,0,0.00,0.00
D,290,Alexander-Arnold,7.9,7.9,Liverpool,82,3.19,84,4.79,81,4.96,0.00
G,291,A.Becker,5.5,5.5,Liverpool,94,3.44,93,3.95,93,4.09,0.00
M,292,Bajcetic,4.8,4.8,Liverpool,0,0.00,0,0.00,0,0.00,0.00
F,293,Darwin,7.4,7.4,Liverpool,70,4.20,45,3.35,46,3.55,0.01
M,294,Diogo J.,7.8,7.8,Liverpool,0,0.00,46,3.32,47,3.53,0.00
M,295,Elliott,4.8,4.8,Liverpool,33,1.69,21,1.27,22,1.39,0.00
M,296,Fabinho,5.0,5.0,Liverpool,0,0.00,0,0.00,0,0.00,0.00
F,297,Gakpo,7.2,7.2,Liverpool,43,2.35,50,3.07,48,3.13,0.00
D,298,Gomez,4.5,4.5,Liverpool,16,0.43,16,0.64,22,0.94,0.00
M,299,Henderson,5.0,5.0,Liverpool,0,0.00,0,0.00,0,0.00,0.00
M,300,Jones,4.9,4.9,Liverpool,0,0.00,0,0.00,0,0.00,0.00
G,301,Kelleher,4.0,4.0,Liverpool,0,0.00,2,0.09,2,0.08,0.00
D,302,Konaté,4.9,4.9,Liverpool,85,2.17,83,3.31,79,3.40,0.00
M,303,Luis Díaz,7.5,7.5,Liverpool,76,4.03,69,4.33,66,4.38,0.00
M,304,Mac Allister,5.9,5.9,Liverpool,77,3.05,75,3.50,72,3.51,0.00
